Date,open_price,close_price,high_price,low_price
2020-03-19,146.62,153.13,159.93,144.82
2020-03-18,139.75,146.96,148.18,137.10
2020-03-17,150.74,149.42,153.94,140.00
2020-03-16,152.32,146.01,159.13,143.10
2020-03-13,163.53,170.28,170.79,157.60
2020-03-12,159.54,154.47,166.60,154.34
2020-03-11,174.01,170.24,175.88,167.66
2020-03-10,174.67,178.19,178.29,169.50
2020-03-09,169.60,169.50,175.00,165.19
2020-03-06,178.33,181.09,183.78,176.26
2020-03-05,186.78,185.17,188.99,183.89
2020-03-04,189.17,191.76,191.83,186.39
2020-03-03,196.22,185.89,197.24,183.97
2020-03-02,194.03,196.44,196.57,188.85
2020-02-28,182.70,192.47,192.74,181.82
2020-02-27,191.82,189.75,195.88,189.50
2020-02-26,197.19,197.20,201.21,195.49
2020-02-25,202.25,196.77,203.50,195.95
2020-02-24,201.80,200.72,203.65,198.17
2020-02-21,213.48,210.18,214.24,208.83
2020-02-20,216.52,214.58,218.77,212.95
2020-02-19,217.99,217.49,218.32,216.11
2020-02-18,213.55,217.80,217.98,213.40
2020-02-14,214.00,214.18,214.93,212.65
2020-02-13,209.52,213.14,214.33,209.18
2020-02-12,207.85,210.76,211.22,207.40
2020-02-11,210.19,207.19,210.86,206.51
2020-02-10,211.52,213.06,213.80,210.66
2020-02-07,210.30,212.33,212.82,209.93
2020-02-06,210.47,210.85,211.19,209.34
2020-02-05,212.51,210.11,212.73,208.71
2020-02-04,206.62,209.83,210.60,205.20
2020-02-03,203.44,204.19,205.14,202.50
2020-01-31,208.43,201.91,208.69,201.06
2020-01-30,206.53,209.53,211.43,204.75
2020-01-29,221.44,223.23,224.20,218.45
2020-01-28,216.14,217.79,218.74,213.52
2020-01-27,213.10,214.87,216.06,212.50
2020-01-24,220.80,217.94,221.78,216.11
2020-01-23,220.75,219.76,221.49,219.27
2020-01-22,222.31,221.32,222.75,221.28
2020-01-21,222.16,221.44,222.37,219.12
2020-01-17,222.03,222.14,222.29,220.53
2020-01-16,222.57,221.77,222.63,220.39
2020-01-15,220.61,221.15,221.68,220.14
2020-01-14,221.61,219.06,222.38,218.63
2020-01-13,219.60,221.91,221.97,219.21
2020-01-10,219.20,218.06,219.88,217.42
2020-01-09,217.54,218.30,218.38,216.28
2020-01-08,213.00,215.22,216.24,212.61
2020-01-07,212.82,213.06,214.58,211.75
2020-01-06,206.70,212.60,212.78,206.52
2020-01-03,207.21,208.67,210.40,206.95
2020-01-02,206.75,209.78,209.79,206.27
2019-12-31,204.00,205.25,205.56,203.60
2019-12-30,207.86,204.41,207.90,203.90
2019-12-27,208.67,208.10,208.93,206.59
2019-12-26,205.57,207.79,207.82,205.31
2019-12-24,206.30,205.12,206.79,205.00
2019-12-23,206.70,206.18,208.59,205.68
2019-12-20,207.48,206.30,207.71,203.43
2019-12-19,202.78,206.06,206.30,202.51
2019-12-18,200.09,202.50,204.30,200.09
2019-12-17,198.84,198.39,199.00,196.13
2019-12-16,195.27,197.92,199.12,194.81
2019-12-13,196.40,194.11,196.80,193.17
2019-12-12,202.35,196.75,203.66,194.10
2019-12-11,200.28,202.26,202.63,200.28
2019-12-10,201.66,200.87,202.05,200.15
2019-12-09,200.65,201.34,203.14,200.21
2019-12-06,200.50,201.05,201.57,200.06
2019-12-05,199.86,199.36,201.29,198.21
2019-12-04,200.00,198.71,200.03,198.05
2019-12-03,197.60,198.82,198.93,195.08
2019-12-02,202.13,199.70,202.18,198.05
2019-11-29,201.60,201.64,203.80,201.21
2019-11-27,199.90,202.00,203.14,199.42
2019-11-26,200.00,198.97,200.15,198.04
2019-11-25,199.52,199.79,200.97,199.25
2019-11-22,198.38,198.82,199.30,197.62
2019-11-21,197.42,197.93,199.09,196.86
2019-11-20,198.58,197.51,199.59,195.43
2019-11-19,197.40,199.32,200.00,196.86
2019-11-18,194.56,197.40,198.63,193.05
2019-11-15,194.26,195.10,195.30,193.38
2019-11-14,192.93,193.15,194.03,191.45
2019-11-13,194.70,193.19,195.70,192.74
2019-11-12,190.00,194.47,195.06,189.74
2019-11-11,189.93,189.61,190.08,188.54
2019-11-08,190.00,190.84,192.34,189.70
2019-11-07,191.91,190.42,193.44,189.47
2019-11-06,194.03,191.55,194.37,191.35
2019-11-05,195.37,194.32,195.75,193.60
2019-11-04,194.55,194.72,197.37,193.81
2019-11-01,192.85,193.62,194.11,189.91
2019-10-31,196.70,191.65,198.09,188.25
2019-10-30,189.56,188.25,190.45,185.98
