Date,open_price,close_price,high_price,low_price
2020-03-19,47.84,45.94,49.22,45.16
2020-03-18,46.71,47.61,50.05,45.20
2020-03-17,45.76,50.08,51.63,45.20
2020-03-16,47.51,44.61,52.25,43.63
2020-03-13,48.26,54.43,55.00,47.74
2020-03-12,47.99,45.54,50.09,45.37
2020-03-11,52.39,51.66,53.54,51.01
2020-03-10,52.76,53.98,54.00,50.43
2020-03-09,51.92,50.85,52.71,50.00
2020-03-06,55.18,55.77,56.01,54.54
2020-03-05,57.06,56.96,58.66,56.61
2020-03-04,57.01,58.68,58.71,56.16
2020-03-03,58.03,55.97,59.02,55.40
2020-03-02,55.79,58.18,58.22,54.52
2020-02-28,54.30,55.52,56.38,53.60
2020-02-27,57.93,55.83,58.51,55.80
2020-02-26,60.11,59.65,60.82,59.27
2020-02-25,61.99,59.73,62.28,59.46
2020-02-24,61.61,61.76,62.77,61.32
2020-02-21,65.18,64.34,65.25,64.04
2020-02-20,67.04,65.45,67.29,64.56
2020-02-19,66.39,67.11,67.20,66.18
2020-02-18,66.66,66.14,66.69,65.88
2020-02-14,67.52,67.27,67.86,66.82
2020-02-13,66.99,67.44,67.65,66.74
2020-02-12,67.60,67.46,68.09,67.31
2020-02-11,66.83,67.41,67.71,66.57
2020-02-10,65.56,66.39,66.40,65.44
2020-02-07,66.86,66.02,67.30,66.01
2020-02-06,67.30,67.09,67.40,66.77
2020-02-05,66.69,67.34,67.60,66.13
2020-02-04,65.77,65.46,66.06,64.92
2020-02-03,64.46,64.42,65.04,64.30
2020-01-31,65.80,63.93,65.98,63.67
2020-01-30,65.64,66.47,66.50,64.93
2020-01-29,67.63,66.33,68.06,66.17
2020-01-28,66.50,67.31,67.58,65.94
2020-01-27,66.72,65.69,67.42,65.60
2020-01-24,66.57,68.47,69.29,66.46
2020-01-23,62.86,63.32,63.71,62.81
2020-01-22,61.04,62.73,62.85,60.97
2020-01-21,59.81,60.55,61.25,59.79
2020-01-17,59.98,59.60,60.00,59.24
2020-01-16,59.26,59.66,59.84,59.07
2020-01-15,59.30,58.94,59.65,58.75
2020-01-14,59.49,59.43,59.74,59.19
2020-01-13,59.17,59.59,59.78,59.08
2020-01-10,59.57,58.94,60.08,58.87
2020-01-09,59.05,59.30,59.51,58.83
2020-01-08,58.89,58.97,59.32,58.52
2020-01-07,59.78,58.93,59.80,58.89
