Date,open_price,close_price,high_price,low_price
2020-03-19,201.96,212.97,216.73,193.39
2020-03-18,200.10,202.82,209.94,180.68
2020-03-17,200.91,217.27,220.86,191.00
2020-03-16,212.41,196.40,226.10,194.00
2020-03-13,230.50,240.84,241.02,219.61
2020-03-12,225.46,216.31,236.12,215.80
2020-03-11,255.46,246.47,256.60,242.57
2020-03-10,256.54,261.08,261.08,245.99
2020-03-09,239.90,245.44,259.40,238.18
2020-03-06,266.08,266.04,268.39,258.00
2020-03-05,276.50,273.29,283.20,271.50
2020-03-04,270.20,284.51,284.89,267.20
2020-03-03,278.67,265.89,281.07,262.46
2020-03-02,276.90,276.43,277.59,261.00
2020-02-28,242.46,270.07,272.46,241.79
2020-02-27,254.90,252.60,267.00,248.89
2020-02-26,262.06,267.65,275.45,262.00
2020-02-25,276.30,262.05,278.79,257.96
2020-02-24,270.19,273.28,281.87,268.00
2020-02-21,304.19,294.07,305.20,290.66
2020-02-20,312.77,308.70,316.32,296.35
2020-02-19,301.49,314.70,315.41,301.49
2020-02-18,285.64,296.57,297.31,284.86
2020-02-14,287.26,289.79,294.97,286.00
2020-02-13,270.21,270.78,273.48,269.11
2020-02-12,270.01,272.54,272.80,268.45
2020-02-11,267.32,267.89,272.50,264.83
2020-02-10,252.50,262.97,263.00,252.30
2020-02-07,252.64,251.59,253.53,250.57
2020-02-06,252.14,254.25,254.25,248.88
2020-02-05,251.99,250.76,252.40,247.41
2020-02-04,246.03,247.13,247.90,244.02
2020-02-03,235.70,240.33,241.11,235.45
2020-01-31,243.97,236.43,244.45,234.75
2020-01-30,241.61,245.81,246.35,239.40
2020-01-29,247.39,245.54,248.84,243.94
2020-01-28,242.85,247.97,249.27,240.71
2020-01-27,238.24,240.20,242.25,232.23
2020-01-24,257.50,250.48,259.50,248.30
2020-01-23,251.72,252.86,253.20,248.15
2020-01-22,249.76,250.05,253.59,249.00
2020-01-21,247.81,247.94,249.29,246.57
2020-01-17,249.70,249.28,250.00,247.37
2020-01-16,247.72,248.93,249.17,246.78
2020-01-15,247.79,245.57,248.69,244.53
2020-01-14,250.26,247.28,251.28,246.75
2020-01-13,247.66,251.98,252.99,246.75
2020-01-10,247.33,244.32,248.55,243.75
2020-01-09,243.85,243.02,245.93,240.86
2020-01-08,239.76,240.38,242.04,238.15
2020-01-07,238.20,239.93,241.77,236.39
2020-01-06,232.32,237.06,237.27,231.27
2020-01-03,235.10,236.07,237.83,234.10
2020-01-02,238.75,239.91,239.91,236.72
2019-12-31,230.90,235.30,235.68,230.13
2019-12-30,235.99,232.32,236.20,231.06
2019-12-27,239.80,236.87,240.34,235.81
2019-12-26,238.76,239.19,240.32,238.00
2019-12-24,238.20,238.62,239.31,236.82
2019-12-23,240.52,238.82,241.81,238.39
2019-12-20,238.13,239.37,240.39,237.36
2019-12-19,230.90,235.46,236.00,230.70
2019-12-18,229.69,229.51,231.94,229.35
2019-12-17,225.90,228.29,229.20,225.52
2019-12-16,225.90,225.15,228.06,224.77
2019-12-13,224.19,223.99,228.98,221.82
2019-12-12,216.18,224.07,224.80,215.82
2019-12-11,214.40,217.34,217.56,214.30
2019-12-10,213.38,213.98,216.06,211.26
2019-12-09,211.25,212.17,214.37,210.90
2019-12-06,211.52,212.17,213.49,211.12
2019-12-05,210.30,208.74,210.93,207.51
2019-12-04,211.02,209.42,211.92,208.27
2019-12-03,201.87,207.66,207.82,200.37
2019-12-02,216.46,209.25,217.00,208.64
2019-11-29,217.00,216.74,218.14,215.78
2019-11-27,218.67,218.24,220.05,217.18
2019-11-26,220.50,217.00,220.69,216.74
2019-11-25,216.04,221.21,221.41,215.52
2019-11-22,211.09,210.89,212.96,209.94
2019-11-21,211.00,210.18,213.24,209.31
2019-11-20,207.07,211.18,214.55,206.56
2019-11-19,211.03,207.99,211.98,205.65
2019-11-18,203.89,212.28,213.35,203.77
2019-11-15,209.70,204.19,211.78,200.64
2019-11-14,208.93,209.79,209.88,206.52
2019-11-13,208.35,208.57,209.46,205.90
2019-11-12,209.72,209.61,211.86,208.31
2019-11-11,207.75,208.18,209.11,204.28
2019-11-08,207.66,207.78,209.05,206.15
2019-11-07,211.11,208.34,211.70,206.54
2019-11-06,208.64,207.63,209.67,204.11
2019-11-05,210.49,209.61,211.54,207.68
2019-11-04,205.85,210.50,211.00,204.92
2019-11-01,199.60,202.59,203.89,198.59
2019-10-31,202.16,201.02,203.00,197.81
2019-10-30,204.00,203.00,204.23,200.26
2019-10-29,206.23,202.92,206.49,202.14
2019-10-28,206.30,206.79,208.90,205.12
2019-10-25,200.10,204.54,205.38,199.79
2019-10-24,196.75,196.86,198.21,195.38
2019-10-23,192.31,195.09,195.66,191.03
2019-10-22,198.30,195.61,202.53,195.30
2019-10-21,192.96,196.01,196.55,192.20
2019-10-18,194.31,190.49,195.62,187.50
2019-10-17,196.00,194.29,197.81,192.10
2019-10-16,195.00,194.21,199.22,193.75
2019-10-15,190.16,196.37,199.29,189.60
2019-10-14,185.64,186.53,187.37,184.39
2019-10-11,186.41,185.99,189.34,185.65
2019-10-10,180.62,183.03,185.08,180.41
2019-10-09,180.32,180.71,182.70,179.16
2019-10-08,180.64,177.23,180.64,176.50
2019-10-07,184.58,184.33,188.34,184.23
2019-10-04,181.40,181.97,183.15,178.78
2019-10-03,173.22,181.31,181.56,172.00
2019-10-02,173.12,173.04,173.60,170.13
2019-10-01,175.00,174.00,181.00,173.81
2019-09-30,172.80,174.07,174.48,171.54
2019-09-27,175.66,171.76,177.70,169.32
2019-09-26,177.84,177.34,178.19,175.29
2019-09-25,172.51,178.23,179.02,170.71
2019-09-24,176.10,172.53,177.29,171.10
2019-09-23,172.70,174.84,176.67,172.55
2019-09-20,176.90,172.69,177.85,172.28
2019-09-19,180.22,176.94,180.96,176.51
2019-09-18,180.79,179.98,181.42,176.50
2019-09-17,180.48,181.07,181.24,178.61
2019-09-16,178.92,180.21,181.60,178.50
2019-09-13,181.59,181.94,183.08,180.18
2019-09-12,186.20,184.27,188.40,183.95
2019-09-11,183.77,184.33,186.27,182.60
2019-09-10,179.18,183.18,184.25,178.79
2019-09-09,179.90,180.50,183.98,179.84
2019-09-06,178.80,178.65,181.09,177.12
2019-09-05,172.87,179.74,179.99,172.80
2019-09-04,166.61,168.76,169.06,166.61
2019-09-03,164.58,164.17,165.91,163.25
2019-08-30,168.86,167.51,170.86,166.78
2019-08-29,164.90,167.00,168.30,164.76
2019-08-28,160.58,161.22,163.34,159.00
2019-08-27,166.99,161.80,167.10,160.62
2019-08-26,165.61,165.45,166.58,163.91
2019-08-23,168.40,162.44,170.59,161.64
2019-08-22,171.62,171.48,173.33,169.90
2019-08-21,170.53,171.23,173.45,169.66
2019-08-20,170.56,167.87,170.58,167.02
2019-08-19,164.12,170.78,171.42,163.47
2019-08-16,159.35,159.56,161.54,156.88
2019-08-15,150.83,148.77,151.63,147.39
2019-08-14,152.50,150.07,152.95,148.31
2019-08-13,151.39,156.05,157.90,149.82
2019-08-12,152.08,151.45,154.18,150.57
2019-08-09,156.61,154.18,156.75,152.15
2019-08-08,156.21,158.26,158.31,153.90
2019-08-07,149.90,153.89,154.37,149.20
2019-08-06,153.80,152.35,155.63,150.43
2019-08-05,153.80,150.79,153.85,148.90
2019-08-02,161.19,161.19,163.98,159.28
2019-08-01,169.14,164.92,172.78,162.82
2019-07-31,174.18,168.72,174.22,167.02
2019-07-30,172.95,175.45,175.94,172.37
2019-07-29,174.78,174.82,175.47,171.27
2019-07-26,174.47,175.07,176.95,174.47
2019-07-25,176.99,173.38,177.50,172.44
2019-07-24,177.40,178.66,178.89,174.34
2019-07-23,172.90,175.66,175.74,172.27
2019-07-22,169.30,171.32,171.84,169.00
2019-07-19,171.72,168.44,171.98,168.20
2019-07-18,170.13,170.18,172.71,167.85
2019-07-17,167.15,169.71,169.99,165.97
2019-07-16,166.67,167.08,168.17,164.84
2019-07-15,168.46,167.27,169.11,166.13
2019-07-12,167.40,167.61,170.47,167.40
2019-07-11,163.00,166.28,167.92,161.50
2019-07-10,159.06,160.06,162.37,158.50
2019-07-09,155.51,157.31,158.44,155.00
2019-07-08,157.83,157.21,158.59,156.00
2019-07-05,160.40,160.23,160.58,157.68
2019-07-03,163.17,162.75,163.40,160.34
2019-07-02,165.50,162.23,166.35,161.70
2019-07-01,172.57,166.17,173.95,164.66
2019-06-28,165.00,164.23,165.37,162.35
2019-06-27,162.71,163.23,164.00,161.26
2019-06-26,156.61,159.26,161.72,156.09
2019-06-25,152.86,151.48,155.88,151.37
2019-06-24,152.62,152.66,153.85,150.72
2019-06-21,153.50,151.76,155.48,151.50
2019-06-20,156.77,154.10,157.33,153.52
2019-06-19,154.30,153.12,154.76,152.07
2019-06-18,147.50,152.88,155.11,147.06
2019-06-17,144.57,145.03,146.52,143.65
2019-06-14,144.51,144.64,145.49,142.84
2019-06-13,147.09,148.26,149.00,146.38
2019-06-12,149.00,146.20,149.25,145.59
2019-06-11,150.84,150.75,152.36,149.16
2019-06-10,147.76,148.43,151.19,147.76
2019-06-07,144.02,145.50,146.88,143.25
2019-06-06,141.45,143.78,144.77,141.35
2019-06-05,145.97,141.28,146.19,139.82
2019-06-04,136.36,143.00,143.21,135.47
2019-06-03,135.91,133.78,137.47,132.60
2019-05-31,137.14,135.46,138.45,135.39
2019-05-30,140.31,139.11,141.75,137.57
2019-05-29,141.41,140.34,142.82,138.94
2019-05-28,145.86,143.33,147.18,143.25
2019-05-24,148.08,145.15,149.50,144.88
2019-05-23,149.69,147.32,149.69,144.91
2019-05-22,153.50,152.20,154.55,151.76
2019-05-21,154.20,155.06,155.70,152.64
2019-05-20,152.55,151.75,154.77,150.75
2019-05-17,158.50,156.53,163.71,154.94
2019-05-16,159.36,160.19,161.91,157.65
2019-05-15,159.80,159.58,161.05,157.41
2019-05-14,160.05,162.04,163.46,158.49
2019-05-13,163.50,158.45,164.43,157.81
2019-05-10,168.95,168.82,171.59,164.00
2019-05-09,171.14,170.19,171.53,165.40
2019-05-08,172.00,173.92,177.15,171.52
2019-05-07,177.90,173.11,177.90,171.17
2019-05-06,175.50,179.85,180.34,174.00
2019-05-03,183.53,183.01,183.93,180.53
2019-05-02,180.86,183.19,184.87,179.12
2019-05-01,183.11,180.47,184.81,180.46
2019-04-30,178.03,181.00,182.03,177.26
2019-04-29,178.41,179.33,180.45,175.50
2019-04-26,180.71,178.09,180.89,173.30
2019-04-25,189.55,186.91,190.45,183.70
2019-04-24,191.09,191.17,192.81,188.64
2019-04-23,189.00,190.67,191.93,188.61
2019-04-22,185.35,188.47,189.10,184.08
2019-04-18,187.56,186.30,188.93,185.18
2019-04-17,189.62,187.29,190.46,186.39
2019-04-16,186.28,188.21,188.97,184.96
2019-04-15,189.70,184.70,189.90,183.10
2019-04-12,193.10,190.01,193.26,189.66
2019-04-11,192.20,191.54,193.47,189.55
2019-04-10,189.23,192.10,193.14,189.05
2019-04-09,190.44,189.26,190.89,187.56
2019-04-08,189.72,191.79,192.80,188.75
2019-04-05,190.00,190.95,191.65,188.53
2019-04-04,188.00,188.26,189.97,185.73
2019-04-03,185.00,188.62,191.00,184.80
2019-04-02,183.25,183.00,184.79,181.52
2019-04-01,183.26,182.28,183.50,180.37
2019-03-29,179.94,179.56,180.54,177.91
2019-03-28,177.55,177.25,179.90,175.11
2019-03-27,177.90,176.50,179.77,173.70
2019-03-26,179.49,176.87,181.75,174.60
2019-03-25,175.86,173.78,178.45,171.11
2019-03-22,182.84,177.50,184.80,176.94
2019-03-21,175.33,183.94,185.00,175.13
2019-03-20,176.88,174.40,179.03,173.00
2019-03-19,172.76,175.71,177.50,172.08
2019-03-18,171.08,168.95,173.25,167.86
2019-03-15,167.30,169.81,171.53,167.16
2019-03-14,168.99,165.56,169.47,165.25
2019-03-13,164.03,168.62,169.80,163.73
2019-03-12,162.26,162.52,164.39,159.19
2019-03-11,151.59,161.14,162.06,149.69
2019-03-08,145.66,150.64,151.07,144.80
2019-03-07,151.10,149.26,151.49,147.40
2019-03-06,156.16,152.05,156.50,151.94
2019-03-05,156.15,156.52,158.06,153.96
2019-03-04,158.00,156.78,158.92,154.50
2019-03-01,156.27,156.45,158.15,153.92
2019-02-28,155.00,154.26,155.90,153.36
2019-02-27,156.52,155.41,157.59,153.11
2019-02-26,158.50,157.10,160.76,155.75
2019-02-25,162.56,158.69,165.28,158.34
2019-02-22,157.86,159.19,159.95,157.31
2019-02-21,159.06,155.77,160.05,155.18
2019-02-20,157.82,158.55,161.26,157.37
2019-02-19,156.91,156.64,159.89,156.14
2019-02-15,162.95,157.34,163.87,156.42
2019-02-14,152.84,154.53,155.67,151.10
2019-02-13,152.36,152.88,155.83,151.81
2019-02-12,148.00,151.17,151.80,147.42
2019-02-11,146.39,146.45,148.58,144.50
2019-02-08,144.71,148.17,148.60,144.13
2019-02-07,151.13,147.42,151.22,145.69
2019-02-06,151.29,153.00,155.60,151.07
2019-02-05,149.66,149.95,151.43,148.30
2019-02-04,145.37,149.18,150.68,144.48
2019-02-01,144.50,144.73,146.79,142.58
2019-01-31,137.26,143.75,145.19,136.38
2019-01-30,134.67,137.39,137.97,131.46
2019-01-29,136.15,131.60,138.10,131.01
2019-01-28,136.55,138.01,141.64,131.00
2019-01-25,155.44,160.15,160.88,151.30
2019-01-24,152.70,157.84,158.55,152.51
2019-01-23,151.00,149.29,154.58,148.03
2019-01-22,155.71,148.77,156.18,147.55
2019-01-18,153.73,156.93,157.98,151.65
2019-01-17,147.51,151.72,153.33,146.41
2019-01-16,150.97,148.84,152.30,148.62
2019-01-15,151.76,149.87,153.35,149.13
2019-01-14,146.72,150.44,151.46,145.77
2019-01-11,144.33,148.83,149.75,143.21
2019-01-10,141.80,145.23,145.58,139.36
2019-01-09,141.90,142.58,144.49,139.86
2019-01-08,146.69,139.83,146.78,136.90
2019-01-07,138.50,143.40,144.89,136.43
2019-01-04,130.94,136.19,137.73,129.70
