Date,open_price,close_price,high_price,low_price
2020-03-19,61.12,65.00,67.55,59.04
2020-03-18,63.56,61.19,65.56,58.00
2020-03-17,65.91,68.86,69.81,62.20
2020-03-16,68.28,64.48,71.17,64.46
2020-03-13,71.18,75.81,76.67,67.26
2020-03-12,69.52,67.02,72.53,67.00
2020-03-11,76.29,74.62,77.79,73.72
2020-03-10,74.80,78.89,79.04,74.16
2020-03-09,72.40,72.64,76.10,71.83
2020-03-06,76.33,77.47,78.08,75.83
2020-03-05,79.46,79.17,81.37,78.70
2020-03-04,79.12,81.80,81.91,78.05
2020-03-03,80.82,78.56,82.65,77.83
2020-03-02,79.02,80.56,80.71,77.13
2020-02-28,73.76,78.30,79.81,73.34
2020-02-27,77.13,75.94,78.19,75.33
2020-02-26,81.00,79.66,82.03,79.09
2020-02-25,83.94,80.22,84.40,79.64
2020-02-24,83.90,83.32,84.83,82.71
2020-02-21,88.56,87.03,89.03,86.33
2020-02-20,90.81,89.47,91.88,88.68
2020-02-19,88.92,90.56,90.62,88.65
2020-02-18,87.83,88.03,89.00,87.53
2020-02-14,90.55,89.60,90.80,88.79
2020-02-13,91.03,90.03,91.38,89.78
2020-02-12,91.65,91.72,92.44,91.29
2020-02-11,89.37,90.00,91.47,88.90
2020-02-10,86.78,88.60,88.64,86.50
2020-02-07,89.62,87.42,90.03,87.38
2020-02-06,88.06,90.61,90.78,86.19
2020-02-05,90.99,90.91,91.14,89.27
2020-02-04,88.25,88.93,88.95,87.37
2020-02-03,85.55,86.48,86.58,85.16
2020-01-31,87.05,85.31,87.17,85.04
2020-01-30,87.31,87.78,87.86,86.19
2020-01-29,88.66,88.23,89.02,87.35
2020-01-28,88.15,89.15,89.54,87.39
2020-01-27,87.30,87.05,88.22,86.45
2020-01-24,92.68,89.65,93.25,88.83
2020-01-23,92.85,92.00,92.95,91.46
2020-01-22,95.26,92.97,95.39,92.71
2020-01-21,95.33,94.54,95.72,93.42
2020-01-17,93.00,95.91,96.17,92.95
2020-01-16,90.22,91.79,92.23,89.82
2020-01-15,90.75,89.67,91.18,89.25
2020-01-14,91.13,90.56,91.61,90.29
2020-01-13,91.05,90.97,92.73,90.55
2020-01-10,90.51,90.26,92.39,89.87
2020-01-09,89.66,89.91,90.72,88.83
2020-01-08,88.90,88.71,89.47,87.92
2020-01-07,87.04,88.97,89.49,86.91
2020-01-06,85.91,86.51,86.55,85.54
2020-01-03,87.26,87.02,87.64,86.44
2020-01-02,89.05,88.69,89.81,88.08
2019-12-31,87.99,88.23,88.77,87.88
2019-12-30,88.71,88.43,88.78,87.31
2019-12-27,88.90,88.80,88.95,88.09
2019-12-26,88.92,88.40,88.96,88.00
2019-12-24,88.62,88.77,88.81,87.98
2019-12-23,89.01,88.45,89.33,88.25
2019-12-20,88.82,88.85,89.85,88.18
2019-12-19,88.36,88.49,88.70,87.62
2019-12-18,88.54,87.98,88.65,87.59
2019-12-17,89.00,88.32,89.04,87.68
2019-12-16,89.28,88.43,90.46,88.35
2019-12-13,88.91,87.83,89.70,87.56
2019-12-12,86.84,89.05,89.23,86.37
2019-12-11,84.84,86.99,87.10,84.76
2019-12-10,85.04,84.12,85.33,83.69
2019-12-09,84.00,84.92,85.30,83.84
2019-12-06,83.45,83.82,84.25,83.42
2019-12-05,82.65,82.59,83.44,81.78
2019-12-04,80.92,82.08,82.44,80.45
2019-12-03,81.38,80.58,81.39,79.81
2019-12-02,83.98,82.45,84.29,82.31
2019-11-29,84.51,83.55,85.10,83.42
2019-11-27,85.16,84.80,85.31,84.47
2019-11-26,85.25,84.63,85.55,84.14
2019-11-25,85.76,85.29,86.29,85.08
2019-11-22,85.29,84.89,85.82,84.53
2019-11-21,84.79,85.11,86.30,84.55
2019-11-20,87.82,85.62,88.36,85.31
2019-11-19,91.25,87.96,91.39,86.68
2019-11-18,90.81,90.48,91.98,89.28
2019-11-15,92.60,90.81,93.94,90.58
2019-11-14,90.31,90.48,90.58,89.43
2019-11-13,90.70,90.47,91.90,89.62
2019-11-12,92.18,90.97,92.25,90.17
2019-11-11,91.71,91.84,92.52,90.89
2019-11-08,89.98,94.03,94.11,89.60
2019-11-07,85.34,84.63,85.61,84.22
2019-11-06,85.34,84.63,85.61,84.22
2019-11-05,85.20,85.46,85.74,84.73
2019-11-04,84.54,85.09,85.87,84.31
2019-11-01,81.59,83.58,83.65,81.25
2019-10-31,81.44,80.44,81.47,79.84
2019-10-30,82.10,81.44,82.25,80.85
2019-10-29,82.75,81.66,82.85,81.44
2019-10-28,80.55,83.05,83.13,80.54
2019-10-25,79.00,80.17,80.23,78.91
2019-10-24,78.06,78.99,79.02,77.59
2019-10-23,77.21,77.24,78.13,76.87
2019-10-22,78.93,78.47,79.07,78.24
2019-10-21,78.38,78.98,79.09,78.01
2019-10-18,78.62,77.68,79.22,77.67
2019-10-17,78.70,78.97,79.96,78.40
2019-10-16,77.49,78.23,78.32,77.28
2019-10-15,76.88,77.82,77.98,76.28
2019-10-14,76.65,76.30,77.37,76.28
2019-10-11,76.19,76.70,77.82,76.01
2019-10-10,74.35,74.97,75.97,74.17
2019-10-09,73.91,74.35,74.80,73.56
2019-10-08,75.52,72.85,75.82,72.81
2019-10-07,77.01,76.34,77.55,76.27
2019-10-04,76.32,77.49,77.56,75.84
2019-10-03,73.93,75.73,75.83,73.16
2019-10-02,75.26,73.99,75.71,73.77
2019-10-01,77.06,75.47,78.06,74.97
2019-09-30,76.89,76.28,76.95,76.02
2019-09-27,77.01,76.63,78.20,76.21
2019-09-26,77.16,77.35,77.69,75.94
2019-09-25,75.03,77.26,77.49,74.88
2019-09-24,78.08,75.23,78.30,74.63
2019-09-23,76.67,77.24,77.91,76.06
2019-09-20,78.20,76.44,78.70,76.17
2019-09-19,79.24,78.23,80.00,78.21
2019-09-18,78.69,78.90,79.07,77.64
2019-09-17,77.61,78.69,78.79,77.51
2019-09-16,77.58,78.04,78.49,76.91
2019-09-13,79.18,78.41,79.54,78.37
2019-09-12,80.05,79.08,80.05,78.58
2019-09-11,78.17,79.90,79.91,78.12
2019-09-10,78.03,78.71,78.88,77.34
2019-09-09,79.04,78.21,79.45,77.97
2019-09-06,78.96,78.84,79.08,78.44
2019-09-05,77.89,78.99,80.44,77.89
2019-09-04,75.99,77.09,77.12,75.63
2019-09-03,76.77,75.12,76.99,74.70
2019-08-30,77.18,77.77,78.05,77.00
2019-08-29,75.22,76.45,77.03,75.22
2019-08-28,73.79,74.35,74.88,72.91
2019-08-27,73.68,73.97,74.38,73.20
2019-08-26,74.90,72.91,75.09,72.52
2019-08-23,76.12,73.52,79.10,73.22
2019-08-22,76.91,77.15,77.95,76.60
2019-08-21,76.50,76.70,77.19,75.99
2019-08-20,74.57,76.07,76.44,74.33
2019-08-19,74.58,74.87,75.53,74.14
2019-08-16,71.85,73.28,73.41,71.73
2019-08-15,71.44,71.16,72.19,70.59
2019-08-14,70.64,70.88,71.89,70.55
2019-08-13,69.89,72.18,72.47,69.31
2019-08-12,71.00,69.80,71.48,69.73
2019-08-09,70.51,71.50,72.19,70.19
2019-08-08,69.56,71.26,71.35,69.35
2019-08-07,67.26,69.40,69.60,67.12
