Date,open_price,close_price,high_price,low_price
2020-03-19,374.70,427.64,451.91,358.46
2020-03-18,389.00,361.22,404.86,350.51
2020-03-17,440.01,430.20,471.85,396.00
2020-03-16,469.50,445.07,494.87,442.17
2020-03-13,595.00,546.62,607.57,502.00
2020-03-12,580.89,560.55,594.50,546.25
2020-03-11,640.20,634.23,653.58,613.00
2020-03-10,659.43,645.33,668.00,608.00
2020-03-09,605.39,608.00,663.00,605.00
2020-03-06,690.00,703.48,707.00,684.27
2020-03-05,723.77,724.54,745.75,718.07
2020-03-04,763.96,749.50,766.52,724.73
2020-03-03,805.00,745.51,806.98,716.11
2020-03-02,711.26,743.62,743.69,686.67
2020-02-28,629.70,667.99,690.52,611.52
2020-02-27,730.00,679.00,739.77,669.00
2020-02-26,782.50,778.80,813.31,776.11
2020-02-25,849.00,799.91,856.60,787.00
2020-02-24,839.00,833.79,863.50,822.20
2020-02-21,906.98,901.00,913.06,880.45
2020-02-20,911.95,899.41,912.00,859.94
2020-02-19,923.50,917.42,944.78,901.02
2020-02-18,841.60,858.40,860.00,832.36
2020-02-14,787.22,800.03,812.97,785.50
2020-02-13,741.84,804.00,818.00,735.00
2020-02-12,777.87,767.29,789.75,763.37
2020-02-11,768.79,774.38,783.51,758.00
2020-02-10,800.00,771.28,819.99,752.41
2020-02-07,730.55,748.07,769.75,730.00
2020-02-06,699.92,748.96,795.83,687.00
2020-02-05,823.26,734.70,845.98,704.11
2020-02-04,882.96,887.06,968.99,833.88
2020-02-03,673.69,780.00,786.14,673.57
2020-01-31,640.00,650.57,653.00,632.52
2020-01-30,632.42,640.81,650.88,618.00
2020-01-29,575.69,580.99,589.80,567.43
2020-01-28,568.49,566.90,576.81,558.08
2020-01-27,541.99,558.02,564.44,539.28
2020-01-24,570.63,564.82,573.86,554.26
2020-01-23,564.25,572.20,582.00,555.60
2020-01-22,571.89,569.56,594.50,559.10
2020-01-21,530.25,547.20,548.58,528.41
2020-01-17,507.61,510.50,515.67,503.16
2020-01-16,493.75,513.49,514.46,492.17
2020-01-15,529.76,518.50,537.84,516.79
2020-01-14,544.26,537.92,547.41,524.90
2020-01-13,493.50,524.86,525.63,492.00
2020-01-10,481.79,478.15,484.94,473.70
2020-01-09,497.10,481.34,498.80,472.87
2020-01-08,473.70,492.14,498.49,468.23
2020-01-07,461.40,469.06,471.63,453.36
2020-01-06,440.47,451.54,451.56,440.00
2020-01-03,440.50,443.01,454.00,436.92
2020-01-02,424.50,430.26,430.70,421.71
2019-12-31,405.00,418.33,421.29,402.08
2019-12-30,428.79,414.70,429.00,409.26
2019-12-27,435.00,430.38,435.31,426.11
2019-12-26,427.91,430.94,433.48,426.35
2019-12-24,418.36,425.25,425.47,412.69
2019-12-23,411.78,419.22,422.01,410.00
2019-12-20,410.29,405.59,413.00,400.19
2019-12-19,397.32,404.04,406.85,396.50
2019-12-18,380.63,393.15,395.22,380.58
2019-12-17,378.99,378.99,385.50,375.90
2019-12-16,362.55,381.50,383.61,362.50
2019-12-13,361.05,358.39,365.21,354.64
