id,text,date
1.25E+18,"Mojo popular symbols ... Servers: 4,458 Period: From 1 hour ago Rank Symbol Count 1 $SPY 4 2 $AMZN 2 3 $ETSY 2 4 $FB 2 5 $GNC 2 6 $LK 2 7 $TSLA 2 8 $USO 2 9 $XSPA 2 10 $AAL 1",4/4/20 18:27
1.25E+18,"$CAG looking good too, thanks @titn31 for pointing it out. ER better than expected with Tutes raising PT to $35 reiterating ""Strong Buy"". Healthy volume coming in. Yellow line for predicted move, Long swing with SL below the 10SMA come on volume. $SPY $QQQ $FB $DIS $nflx $AAPL",4/4/20 18:24
1.25E+18,"Keep an eye on the big tech names, every sector has gone to 2016 levels or lower, except for tech. $SPX is heavily weighted in $msft $fb $amzn $aapl",4/4/20 18:22
1.25E+18,"I’ve had at least 4 spam accounts follow me today. How about the 5 emojis like $FB, a dislike button and better search options @jack?",4/4/20 18:20
1.25E+18,Told cha: cheap IT junk made in India + #H1B rent-a-slave + paid China #MSS Russia #SVR backdoor to USA IT apps cloud at $AAPL $AMZN $BAC $FB $VZ $AMZN $BA $MSFT $GE $GOOGL $IBM $DIS $ACN $CTSH $TCS $WIT $HCL $T $VZ $CERN #Cerner Deloitte Consulting $ZM,4/4/20 18:15
1.25E+18,$SPX $ES $SPY $QQQ $AAPL $VIX $UVXY $BAC $JPM $IWM $INTC $TWTR $FB $SBUX $TGT Subscribe at http://finomgroup.com ($5.99 monthly),4/4/20 18:10
1.25E+18,"$SPX $ES $SPY $QQQ $AAPL $VIX $UVXY $BAC $JPM $IWM $INTC $TWTR $FB $SBUX $TGT You don't want to miss this weekend's Research Report, she's a doozy! Sneak peek before I send her off to editing this evening. Subscribe at http://finomgroup.com ($5.99 monthly)",4/4/20 18:07
1.25E+18,"It's ugly in advertising - Barron's https://seekingalpha.com/news/3558433?source=ansh $AMCX, $VIAC, $DISCA, $FB, $TWTR, $GOOGL, $NYT, $NWSA, $MDP, $GCI, $IHRT, $CMLS, $CCO, $OUT, $CMSA, $T, $DIS",4/4/20 18:03
1.25E+18," Will this Stocks to get hammered next? The economy sudden stop in Advertising, non essential sales, surgery semi's, Unicorns #Oil $NOC $WDFC $ATRI $ALGN $AMED $LMT $PTON $TSLA $FB $LRCX $MU $NVDA $APPL $SNAP $SPCE $ROKU @jimcramer @RottiTrader @BP_Rising @AnalysisFin",4/4/20 18:02
1.25E+18,"$NEM we were all over this pig and banked nicely. Still Holding strong in times of chaos, 10SMA support. Like it here for a swing with SL below the 10SMA on volume $SPY $QQQ $FB $DIS $nflx $TSLA $LK $TWTR $MU $BSX $PTON $MRK $AMD $NVDA $SHOP $SQ $NKE $V $MA $BYND $SPCE $CVM $GE",4/4/20 17:53
1.25E+18,$SPY $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F,4/4/20 17:49
1.25E+18,Will be adding a few more as requests from members. JOIN OUR GROWING TEAM!!! &gt;&gt;&gt;@OptionBulls &lt;&lt;&lt; Come see what the hype is about... $AAPL $AMZN $FB $TSLA $BYND $SPY $ZM $TDOC $JPM $NVDA $BA #securingthebag ,4/4/20 17:41
1.25E+18,$fb #whatsapp,4/4/20 17:34
